client_code,person_code,job_number,date,actor_role,hours,job_type_original,source_file,idempotency_key,warning
NORSPAN-MB,RKG,Q24403A,2026-03-06,DESIGNER,1.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,5af2561cdd8034ac0e438babbc57128d,
NORSPAN-MB,RKG,Q260129,2026-03-06,DESIGNER,2.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,c79aa82b0d86ba893c8288abab7cf433,
NORSPAN-MB,RKG,Q260129,2026-03-07,DESIGNER,2.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,1bf76d69514f09c34bf607e99d775376,
NORSPAN-MB,RKG,Q260133,2026-03-07,DESIGNER,3.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,850ef327f184cd0c48e7a370290d4a92,
NORSPAN-MB,RKG,Q260135,2026-03-09,DESIGNER,4.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,87038cbd83a30d2e08d98e1311fded91,
NORSPAN-MB,RKG,Q260134,2026-03-10,DESIGNER,3.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,97301bb81a8d130799536a1be5a07423,
NORSPAN-MB,RKG,Q260140,2026-03-10,DESIGNER,0.5,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,56c1aa9612ff8c13ab4fe189a298c73e,
NORSPAN-MB,RKG,Q260141,2026-03-11,QC,0.5,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,ac747ac85d36854fffd36e85beee13e0,
NORSPAN-MB,RKG,Q260133,2026-03-11,DESIGNER,3.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,625c9806e844260ce05950a94acf7af1,
NORSPAN-MB,RKG,Q260134,2026-03-12,DESIGNER,4.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,8536e9891eec91b79ad6770e37db2684,
NORSPAN-MB,RKG,Q260140,2026-03-13,QC,1.0,Quality Check,Invoice_From_March_1st-15th_Norspan_MB.pdf,9ba27c09520a2b087c868164a6b7c1e6,
NORSPAN-MB,RKG,Q260127M,2026-03-13,DESIGNER,0.5,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,4579e14768df1c351a7f5a9c4e6e46e6,
NORSPAN-MB,RKG,Q260142,2026-03-13,DESIGNER,1.0,Design-Quote,Invoice_From_March_1st-15th_Norspan_MB.pdf,c02a55a3391056aef326e8ad688c734d,
