client_code,person_code,job_number,date,actor_role,hours,job_type_original,source_file,idempotency_key,warning
NORSPAN-MB,RKG,Q260134,2026-03-16,DESIGNER,3.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,ca83838caadd3c2d58d07072af136d42,
NORSPAN-MB,RKG,Q260109,2026-03-17,DESIGNER,1.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,56b6d8e78fb4bb8befbe96ece15fe90f,
NORSPAN-MB,RKG,Q260156,2026-03-17,DESIGNER,0.75,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,7acb0e1e1cb027a4676ea4742eb10877,
NORSPAN-MB,RKG,Q260157,2026-03-17,DESIGNER,6.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,c3078ddb9b382b2775ef03885cb6f42a,
NORSPAN-MB,RKG,Q260162,2026-03-17,DESIGNER,1.5,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,22ed31fc330b9cf4ca2a89f1129b9a5e,
NORSPAN-MB,RKG,Q260163,2026-03-18,DESIGNER,1.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,f951f412f30974cb9fcc8a22384d3622,
NORSPAN-MB,RKG,Q260165,2026-03-18,DESIGNER,1.5,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,244680ed9cca948e6a427a12582500a9,
NORSPAN-MB,RKG,Q260177,2026-03-19,DESIGNER,6.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,37ec514d9b384c7d0fe4f58d1ca46c4d,
NORSPAN-MB,RKG,Q260178,2026-03-20,DESIGNER,6.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,a3b15f6e31f553e8d5e253508f0ddef6,
NORSPAN-MB,RKG,Q260117,2026-03-20,DESIGNER,0.75,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,fb74c51f55daaf718ccc4e173290a931,
NORSPAN-MB,RKG,Q260180,2026-03-21,DESIGNER,5.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,35b94d1d9eb885def60f72d4939a7b20,
NORSPAN-MB,RKG,Q260182,2026-03-23,DESIGNER,6.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,11c4408b7f53d11dc595595d7da97922,
NORSPAN-MB,RKG,Q260183,2026-03-24,DESIGNER,6.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,540efb53ff5acb83915191f0e3fb2f05,
NORSPAN-MB,RKG,Q260186,2026-03-24,DESIGNER,2.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,066e120ef4a8634a55b92f2aeeaf8969,
